day,fhtindx1,fhtindx2,hhno,id,jtindex,parent,pdpurp,person_day_id,person_id,phtindx1,phtindx2,pno,subtrs,tardest,tarorig,tautocost,tautodist,tautotime,tdadtyp,tdpcl,tdtaz,tlvdest,tlvorig,tmodetp,toadtyp,toexpfac,topcl,totaz,tour,tpathtp,tripsh1,tripsh2
1,0,0,14101406,6244,0,0,4,4720,4720,0,0,1,0,890,990,0.198285252525,0.991426262626,7.53686291486,4,1146438,190,970,840,1,1,206.072406645,1268911,184,1,1,2,2
1,0,0,14101405,6242,0,0,3,4719,4719,0,0,1,0,665,760,0.751,3.755,14.86,4,913829,1834,690,555,4,1,74.363560773,819620,210,1,1,10,6
1,0,0,14101405,6243,0,0,4,4719,4719,0,0,1,0,1190,1230,1.768,8.84,23.94,4,877068,1834,1200,1170,3,1,74.363560773,819620,210,2,1,2,2
1,0,0,14101404,6239,0,0,1,4717,4717,0,0,1,0,310,580,0.422882247475,2.11441123737,10.0953533721,2,749316,254,510,300,3,1,115.541104167,729470,267,1,1,2,6
1,0,0,14101404,6240,0,0,1,4717,4717,0,0,1,0,1045,1085,0.422882247475,2.11441123737,10.6453280734,2,749316,258,1060,1020,3,1,115.541104167,729470,267,2,1,4,4
1,0,0,14101404,6241,0,0,1,4718,4718,0,0,2,0,865,1175,0.185910757576,0.929553787879,7.08185823961,4,828387,324,1155,840,1,1,117.976485103,729470,267,1,1,2,2
1,0,0,14101403,6238,0,0,1,4716,4716,0,0,1,0,555,1205,0.814,4.07,17.525,2,735333,529,1185,535,3,1,40.1503206933,828003,323,1,1,2,2
1,0,0,14101402,6237,0,0,1,4715,4715,0,0,1,0,465,1075,0.943,4.715,23.0,2,735324,529,1020,420,6,1,118.336468259,896015,343,1,3,2,2
1,0,0,14101401,6236,0,0,1,4714,4714,0,0,1,0,555,1050,0.278821212121,1.39410606061,12.3981392228,2,716692,487,1020,525,1,1,145.429961689,919569,401,1,1,2,2
1,0,0,14101400,6231,0,0,1,4712,4712,0,0,1,1,470,1110,0.339723484848,1.69861742424,16.0006679481,2,673573,514,1030,450,6,1,85.1526189891,1064198,402,1,3,2,6
1,0,0,14101400,6232,0,1,5,4712,4712,0,0,1,0,735,765,0.0441931818182,0.220965909091,8.4138255054,4,828907,503,760,730,1,2,85.1526189891,673573,514,2,1,2,2
1,0,0,14101400,6233,0,0,5,4712,4712,0,0,1,0,1180,1220,0.0791401767677,0.395700883838,8.20389158004,4,829775,402,1210,1170,1,1,85.1526189891,1064198,402,3,1,2,2
1,0,0,14101400,6234,0,0,1,4713,4713,0,0,2,0,380,940,0.786,3.93,15.66,2,895288,258,870,360,3,1,74.1860265685,1064198,402,1,1,2,4
1,0,0,14101400,6235,0,0,6,4713,4713,0,0,2,0,1145,1160,0.648371212121,3.24185606061,97.6785326087,4,1064173,402,1155,1140,3,1,74.1860265685,1064198,402,2,1,2,2
1,0,0,14101399,6230,0,0,4,4711,4711,0,0,3,0,605,890,0.298152373737,1.49076186869,9.64639092303,4,940722,425,840,600,3,1,225.369924702,847757,365,2,1,2,4
1,0,0,14101399,6229,0,0,1,4711,4711,0,0,3,0,1020,1310,0.566320176768,2.83160088384,14.4456045444,4,815509,314,1290,990,3,1,225.369924702,847757,365,1,1,2,2
1,0,0,14101398,6228,0,0,4,4707,4707,0,0,1,0,695,785,0.422664709596,2.11332354798,13.9105851384,4,716860,497,740,680,3,1,85.2891769312,1187611,589,2,1,2,4
